labID,Age,Error,Depth,cc,delta.R,delta.STD
SUERC-108550,1260,37,19.5,2,-109,39
UBA-54493,1539,22,31.5,2,-109,39
UBA54493,2772,21,43.5,2,-109,39
UBA-54495,3509,26,55.5,2,-109,39
UBA-54496,5673,27,67.5,2,-109,39
UBA-54499,7548,30,79.5,2,-109,39
SUERC-125509,6497,37,92.5,2,-109,39
SUERC-125492,7768,40,159.5,2,-109,39
SUERC-125494,7738,40,173.5,2,-109,39
SUERC-125495,8557,40,313.5,2,-109,39
SUERC-125500,9407,42,448.5,2,-109,39
SUERC-125501,9644,38,524.5,2,-109,39
SUERC-108555,9773,38,600.05,2,-109,39
SUERC-125510,9916,38,706.5,2,-109,39
